time,id,g,e,m,b
0,1,0.5,a,0,0
0,2,0.5,A,0,0
0,3,0.5,A,0,1
0,4,0.5,A,0,0
0,5,0.5,A,0,1
0,6,0.5,a,0,0
0,7,0.5,A,0,0
0,8,0.5,a,0,0
0,9,0.5,A,0,0
0,10,0.5,A,0,0
0,11,0.5,a,0,1
0,12,0.5,A,0,0
0,13,0.5,a,0,0
0,14,0.5,a,0,1
0,15,0.5,A,0,0
0,16,0.5,A,0,0
0,17,0.5,a,0,1
0,18,0.5,A,0,1
0,19,0.5,A,0,1
0,20,0.5,A,0,0
0,21,0.5,A,0,0
0,22,0.5,A,0,1
0,23,0.5,A,0,1
0,24,0.5,a,0,0
0,25,0.5,A,0,1
0,26,0.5,a,0,0
0,27,0.5,A,0,1
0,28,0.5,A,0,0
0,29,0.5,A,0,0
0,30,0.5,A,0,1
0,31,0.5,A,0,1
0,32,0.5,A,0,0
0,33,0.5,A,0,0
0,34,0.5,a,0,1
0,35,0.5,A,0,0
0,36,0.5,a,0,0
0,37,0.5,a,0,0
0,38,0.5,A,0,1
0,39,0.5,A,0,1
0,40,0.5,a,0,1
0,41,0.5,A,0,0
0,42,0.5,A,0,0
0,43,0.5,A,0,0
0,44,0.5,A,0,0
0,45,0.5,A,0,0
0,46,0.5,A,0,0
0,47,0.5,A,0,1
0,48,0.5,A,0,0
0,49,0.5,A,0,0
0,50,0.5,a,0,1
0,51,0.5,a,0,1
0,52,0.5,a,0,0
0,53,0.5,A,0,1
0,54,0.5,A,0,1
0,55,0.5,A,0,1
0,56,0.5,A,0,1
0,57,0.5,a,0,1
0,58,0.5,a,0,0
0,59,0.5,A,0,0
0,60,0.5,a,0,1
0,61,0.5,A,0,1
0,62,0.5,A,0,1
0,63,0.5,a,0,1
0,64,0.5,a,0,1
0,65,0.5,a,0,1
0,66,0.5,A,0,0
0,67,0.5,A,0,0
0,68,0.5,A,0,1
0,69,0.5,a,0,1
0,70,0.5,a,0,1
0,71,0.5,a,0,1
0,72,0.5,A,0,1
0,73,0.5,A,0,0
0,74,0.5,a,0,1
0,75,0.5,A,0,0
0,76,0.5,A,0,0
0,77,0.5,A,0,1
0,78,0.5,a,0,0
0,79,0.5,A,0,1
0,80,0.5,a,0,0
0,81,0.5,A,0,0
0,82,0.5,A,0,0
0,83,0.5,A,0,0
0,84,0.5,A,0,1
0,85,0.5,A,0,1
0,86,0.5,A,0,1
0,87,0.5,A,0,0
0,88,0.5,A,0,0
0,89,0.5,A,0,0
0,90,0.5,A,0,0
0,91,0.5,A,0,0
0,92,0.5,A,0,1
0,93,0.5,a,0,1
0,94,0.5,A,0,1
0,95,0.5,A,0,1
0,96,0.5,A,0,1
0,97,0.5,A,0,1
0,98,0.5,A,0,1
0,99,0.5,a,0,0
0,100,0.5,A,0,0
1,1,0.45000000000000007,a,0,0
1,2,0.30000000000000004,A,0,0
1,3,0.4,A,0,1
1,4,0.30000000000000004,A,0,0
1,5,0.4,A,0,1
1,6,0.51,a,0,0
1,7,0.5,A,0,0
1,8,0.56,a,0,0
1,9,0.6,A,0,0
1,10,0.7150000000000001,A,0,0
1,11,0.4,a,0,1
1,12,0.4,A,0,0
1,13,0.3630000000000001,a,0,0
1,14,0.4,a,0,1
1,15,0.65,A,0,0
1,16,0.4,A,0,0
1,17,0.51,a,0,1
1,18,0.20000000000000004,A,0,1
1,19,0.4,A,0,1
1,20,2.7755575615628914e-17,A,0,0
1,21,0.45000000000000007,A,0,0
1,22,0.3500000000000001,A,0,1
1,23,0.30000000000000004,A,0,1
1,24,0.30000000000000004,a,0,0
1,25,0.6,A,0,1
1,26,0.51,a,0,0
1,27,0.44000000000000006,A,0,1
1,28,0.30000000000000004,A,0,0
1,29,0.4,A,0,0
1,30,0.30000000000000004,A,0,1
1,31,0.4,A,0,1
1,32,0.6,A,0,0
1,33,0.6,A,0,0
1,34,0.4,a,0,1
1,35,0.4,A,0,0
1,36,0.45100000000000007,a,0,0
1,37,0.51,a,0,0
1,38,0.5,A,0,1
1,39,0.30000000000000004,A,0,1
1,40,0.30000000000000004,a,0,1
1,41,0.4,A,0,0
1,42,0.10000000000000003,A,0,0
1,43,0.45000000000000007,A,0,0
1,44,0.6,A,0,0
1,45,0.44000000000000006,A,0,0
1,46,0.3850000000000001,A,0,0
1,47,0.10000000000000003,A,0,1
1,48,0.3400000000000001,A,0,0
1,49,0.4,A,0,0
1,50,0.51,a,0,1
1,51,0.4,a,0,1
1,52,0.6160000000000001,a,0,0
1,53,0.4,A,0,1
1,54,0.4,A,0,1
1,55,0.5599999999999999,A,0,1
1,56,0.30000000000000004,A,0,1
1,57,0.4950000000000001,a,0,1
1,58,0.30000000000000004,a,0,0
1,59,0.4,A,0,0
1,60,0.33000000000000007,a,0,1
1,61,0.4,A,0,1
1,62,0.30000000000000004,A,0,1
